citation_title,year,institution,sub_experiment,parameter_varied,species,strain,sex,tumor_model,model_type,anesthesia,anesthesia_class_simple,oxygen_condition,oxygen_modulated_flag,fixation_method,tissue_type,tissue_class,anatomy_depth,beam_and_field,radiation_type,particle_group,energy,machine_name,beam_type,delivery_mode,pulse_mode,total_dose_Gy,dose_range_Gy,dose_values_Gy,is_fractionated,fractionation_type,fractionation_detail,fractionation_regime,num_fractions,dose_per_fraction_Gy,inter_fraction_interval_days,flash_avg_dose_rate_Gy_s,flash_avg_dose_rate_Gy_s_source,flash_avg_dose_rate_range,flash_inst_dose_rate_Gy_s,flash_inst_dose_rate_Gy_s_source,flash_inst_dose_rate_range,flash_prf_Hz,flash_prf_Hz_source,flash_prf_range,flash_pulse_width_us,flash_pulse_width_us_source,flash_pulse_width_range,flash_num_pulses,flash_num_pulses_source,flash_dose_per_pulse_Gy,flash_dose_per_pulse_Gy_source,flash_irradiation_time_s,flash_irradiation_time_s_source,flash_irradiation_time_range,conv_avg_dose_rate_Gy_s,conv_dose_per_pulse_Gy,proton_spot_dose_rate_Gy_s,proton_field_dose_rate_Gy_s,proton_num_spots,followup_time,sample_size_per_group,endpoints_detected,healthy_tissue_effect,tumor_effect,target_normal_tissue_sparing_binary,effect_direction,dominant_endpoint_type,flash_vs_conv_effect_size_pct,effect_size_endpoint,effect_size_calculability,effect_size_comparator,dmf_endpoint,dmf_calculability,notes_free_text,derived_params,flash_effect_score_derived,is_preprint,peak_toxicity_grade,severe_toxicity,grade3plus_toxicity,endpoint_type,dmf_acute,dmf_fibrosis,energy_MeV,n_mice_acute,n_mice_late,data_notes,conv_inst_dose_rate_Gy_s,conv_pulse_mode,conv_prf_Hz,conv_pulse_width_us,conv_total_dose_Gy,conv_dose_joint_Gy,fractionation_notes,endpoint_class,dmf_type,grade_scale_max,peak_effect_pct,functional_toxicity_severity_flash,functional_toxicity_severity_conv,flash_benefit_magnitude,functional_delta_score,mechanism_flag,flash_threshold_avg_dose_rate_Gy_s,flash_energy_MeV,endpoint_primary,field_cm2,exclusion_note,oxygen_condition_grouped,tumor_effect_grouped,effect_direction_grouped,dmf_type_grouped
Proton FLASH effects on mouse skin at different oxygen tensions,2023.0,"Massachusetts General Hospital; Harvard Medical School, Department of Radiation Oncology",Lee_2023_Hypoxic_FLASH_27Gy,oxygen_condition_dose_rate,mouse,FVB/N,female,,mouse,ketamine_xylazine,ketamine,hypoxia,1.0,,skin,normal_tissue,superficial,1.2x1.6cm_elliptical_field;hind_limb_entry_plateau,proton,proton,230 MeV,double scattering FLASH proton platform (230 MeV cyclotron),double_scattering_proton,single_fraction,pulsed,27.0,,27,no,single_fraction,,single_fraction,1.0,27.0,,130.0,original,~130,,not_reported,,,not_reported,9.4ns_inter-bunch_cyclotron_microstructure,0.003,original,0.002-0.004 µs (2-4 ns),,not_reported,,not_applicable_continuous:patched,0.208,derived:27/130,~0.208,0.4,,,130.0,,contraction_longitudinal,10,skin_contraction;epidermis_thickness;collagen_deposition,NO,NOT_APPLICABLE,0.0,NO_EFFECT,acute_skin_toxicity,0,peak_skin_score,estimated,FLASH_vs_CONV,skin_contraction,not_calculable,"Lee 2023 F8. FVB/N female, hypoxic hind leg skin (limb tying ~3 min before+during RT), 27 Gy proton FLASH. No significant diff between FLASH and CDR in pooled hypoxic 27+45 Gy analysis. Epidermis and collagen NS. Hypoxia abolished FLASH sparing (results largely in supplement).",hypoxia_vascular_occlusion;FLASH_sparing_absent;pooled_27_45Gy_analysis,,,2,,,acute_skin_toxicity,1.0,not_reported,,,,"27 Gy, hypoxic (vascular occlusion tourniquet). FLASH skin sparing abolished. DMF=1.0. Deep hypoxia eliminates oxygen for depletion mechanism.",,,,,,,single_fraction,skin,none_detected,,,2,2,0.0,0.0,,,,,,,hypoxic_anoxic,NOT_APPLICABLE,neutral_no_effect,other
Proton FLASH effects on mouse skin at different oxygen tensions,2023.0,"Massachusetts General Hospital; Harvard Medical School, Department of Radiation Oncology",Lee_2023_Hypoxic_FLASH_45Gy,oxygen_condition_dose_rate,mouse,FVB/N,female,,mouse,ketamine_xylazine,ketamine,hypoxia,1.0,,skin,normal_tissue,superficial,1.2x1.6cm_elliptical_field;hind_limb_entry_plateau,proton,proton,230 MeV,double scattering FLASH proton platform (230 MeV cyclotron),double_scattering_proton,single_fraction,pulsed,45.0,,45,no,single_fraction,,single_fraction,1.0,45.0,,130.0,original,~130,,not_reported,,,not_reported,9.4ns_inter-bunch_cyclotron_microstructure,0.003,original,0.002-0.004 µs (2-4 ns),,not_reported,,not_applicable_continuous:patched,0.346,derived:45/130,~0.346,0.4,,,130.0,,contraction_longitudinal;histology_day50,10,skin_contraction;epidermis_thickness;collagen_deposition,NO,NOT_APPLICABLE,0.0,NO_EFFECT,acute_skin_toxicity,0,peak_skin_score,estimated,FLASH_vs_CONV,skin_contraction,not_calculable,"Lee 2023 F9. FVB/N female, hypoxic hind leg skin (limb tying), 45 Gy proton FLASH. No significant diff between FLASH and CDR. Histology at day 50. Collagen: NS between FLASH and CDR at 45 Gy hypoxia. Together with F8: hypoxia (both reduced O2 and increased O2) eliminated proton FLASH sparing — consistent with oxygen depletion mechanism requiring tissue normoxia.",hypoxia_vascular_occlusion;no_FLASH_sparing;histology_day50;highest_dose_arm,,,4,,,acute_skin_toxicity,1.0,not_reported,,,,"45 Gy, hypoxic (vascular occlusion). FLASH skin sparing absent at extreme dose. DMF=1.0. No oxygen available for depletion — consistent with lower dose hypoxic arm.",,,,,,,single_fraction,skin,none_detected,,,4,4,0.0,0.0,,,,,,,hypoxic_anoxic,NOT_APPLICABLE,neutral_no_effect,other
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_14Gy_HDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,14.0,,14,no,single_fraction,,single_fraction,1.0,14.0,,58.33,original,57.14-64.29_HDR_family,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,240.0,original,,not_applicable_continuous:patched,0.24,derived_pulses_over_PRF,0.240,,,,58.33,40.0,40d_survival_body_weight,10,survival_40d;body_weight_recovery,NO,NOT_APPLICABLE,0.0,neutral_both_100pct_survival_14Gy,survival,0,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 14 Gy ABI, HDR family (40 spots × 6 pulses = 240 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=58.33 Gy/s (family 57.14-64.29 Gy/s); DPP=0.0583 Gy/pulse; irr=0.240s. CONV DR not reported. n=10/group. 40-day follow-up. Both groups 100% survival → no FLASH benefit at 14 Gy. Neutral arm.",Chugh_2026;14Gy_HDR;40spots_6pulses=240;FADR=58.33Gys;DPP=0.0583;irr=0.240s;PRF=1kHz;neutral_100pct_both;ABI,,,1,,,GI_toxicity,not_applicable,not_applicable,,,,14 Gy HDR FLASH (57-64 Gy/s) vs CONV (0.5-1 Gy/s). 40-day survival: both 100%. Sub-lethal dose — no survival difference expected.,,,,,,,single_fraction,GI_crypt,not_applicable,,,0,0,0.0,0.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,neutral_no_effect,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_14Gy_LDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,14.0,,14,no,single_fraction,,single_fraction,1.0,14.0,,43.21,original,43.21-49.38_LDR_family,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,324.0,original,,not_applicable_continuous:patched,0.324,derived_pulses_over_PRF,0.324,,,,43.21,54.0,40d_survival_body_weight,10,survival_40d;body_weight_recovery,NO,NOT_APPLICABLE,0.0,neutral_both_100pct_survival_14Gy_LDR,survival,0,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 14 Gy ABI, LDR family (54 spots × 6 pulses = 324 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=43.21 Gy/s (family 43.21-49.38 Gy/s); DPP=0.0432 Gy/pulse; irr=0.324s. CONV DR not reported. n=10/group. Both groups 100% survival at 14 Gy. Neutral arm.",Chugh_2026;14Gy_LDR;54spots_6pulses=324;FADR=43.21Gys;DPP=0.0432;irr=0.324s;PRF=1kHz;neutral_100pct_both;ABI,,,1,,,GI_toxicity,not_applicable,not_applicable,,,,14 Gy LDR FLASH (43-49 Gy/s) vs CONV (0.5-1 Gy/s). 40-day survival: both 100%. Sub-lethal dose — no survival difference.,,,,,,,single_fraction,GI_crypt,not_applicable,,,0,0,0.0,0.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,neutral_no_effect,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_16Gy_HDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,16.0,,16,no,single_fraction,,single_fraction,1.0,16.0,,57.14,original,57.14_HDR_nominal,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,280.0,original,,not_applicable_continuous:patched,0.28,derived_pulses_over_PRF,0.280,,,,57.14,40.0,40d_survival_body_weight,10,survival_40d;body_weight_recovery,YES,NOT_APPLICABLE,1.0,FLASH_90pct_vs_CONV_40pct_survival_16Gy_HDR,survival,125,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 16 Gy ABI, HDR family (40 spots × 7 pulses = 280 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=57.14 Gy/s; DPP=0.0571 Gy/pulse; irr=0.280s. n=10/group. FLASH 90% vs CONV 40% survival at 40 days (+50pp absolute). Body-weight recovery faster with FLASH. Relative survival improvement: +125%; relative mortality reduction: 83.3%.",Chugh_2026;16Gy_HDR;40spots_7pulses=280;FADR=57.14Gys;DPP=0.0571;irr=0.280s;survival_90pct_FLASH_vs_40pct_CONV;+50pp;+125pct_relative;mortality_-83.3pct,,,6,,,GI_toxicity,not_applicable,not_applicable,,,,"16 Gy HDR FLASH (57-64 Gy/s) vs CONV. Strong FLASH survival benefit. 40-day survival: FLASH 90% vs CONV 40% (+50 pp, +125% relative). HDR more protective than LDR at this dose.",,,,,,,single_fraction,GI_crypt,not_applicable,,,2,5,3.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_16Gy_LDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,16.0,,16,no,single_fraction,,single_fraction,1.0,16.0,,49.38,original,49.38_LDR_nominal,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,324.0,original,,not_applicable_continuous:patched,0.324,derived_pulses_over_PRF,0.324,,,,49.38,54.0,40d_survival_body_weight,10,survival_40d;body_weight_recovery,YES,NOT_APPLICABLE,1.0,FLASH_60pct_vs_CONV_20pct_survival_16Gy_LDR,survival,200,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 16 Gy ABI, LDR family (54 spots × 6 pulses = 324 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=49.38 Gy/s; DPP=0.0494 Gy/pulse; irr=0.324s. n=10/group. FLASH 60% vs CONV 20% survival at 40 days (+40pp absolute). Relative survival improvement: +200%; relative mortality reduction: 50%.",Chugh_2026;16Gy_LDR;54spots_6pulses=324;FADR=49.38Gys;DPP=0.0494;irr=0.324s;survival_60pct_FLASH_vs_20pct_CONV;+40pp;+200pct_relative;mortality_-50pct,,,6,,,GI_toxicity,not_applicable,not_applicable,,,,"16 Gy LDR FLASH (43-49 Gy/s) vs CONV. Moderate FLASH survival benefit. 40-day survival: FLASH 60% vs CONV 20% (+40 pp, +200% relative). Less protective than HDR at 16 Gy.",,,,,,,single_fraction,GI_crypt,not_applicable,,,3,5,2.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_Morphology_18Gy_HDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,18.0,,18,no,single_fraction,,single_fraction,1.0,18.0,,64.29,original,64.29_HDR_nominal_57.14-64.29,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,280.0,original,,not_applicable_continuous:patched,0.28,derived_pulses_over_PRF,0.280,,,,64.29,40.0,40d_survival;72h_jejunal_histology,10,survival_40d;body_weight;villus_length;crypt_depth;Ki67+_proliferating_crypts,YES,NOT_APPLICABLE,1.0,FLASH_50pct_vs_CONV_0pct_survival_18Gy_HDR_plus_histologic_sparing,survival,not_calculable,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 18 Gy ABI, HDR family (40 spots × 7 pulses = 280 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=64.29 Gy/s; DPP=0.0643 Gy/pulse; irr=0.280s. n=10/group survival; n=10/group histology. FLASH 50% vs CONV 0% at 40 days (+50pp absolute; CONV survival = 0). Histology at 72h: FLASH preserved villus length, crypt depth, and Ki67+ proliferative crypts vs CONV.",Chugh_2026;18Gy_HDR;40spots_7pulses=280;FADR=64.29Gys;DPP=0.0643;irr=0.280s;survival_50pct_FLASH_vs_0pct_CONV;+50pp;histology_villus_crypt_Ki67_preserved;mortality_-50pct,,,6,,,GI_toxicity,not_applicable,not_applicable,,,,18 Gy HDR FLASH (57-64 Gy/s) vs CONV. Strong FLASH survival benefit. 40-day survival: FLASH 50% vs CONV 0% (+50 pp). Relative effect not calculable (CONV=0). Intestinal morphology preserved in FLASH.,,,,,,,single_fraction,GI_crypt,not_applicable,,,3,6,3.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,flash_protective,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Survival_Morphology_18Gy_LDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,18.0,,18,no,single_fraction,,single_fraction,1.0,18.0,,47.62,original,47.62_LDR_nominal_43.21-49.38,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,378.0,original,,not_applicable_continuous:patched,0.378,derived_pulses_over_PRF,0.378,,,,47.62,54.0,40d_survival;72h_jejunal_histology,10,survival_40d;body_weight;villus_length;crypt_depth;Ki67+_proliferating_crypts,YES,NOT_APPLICABLE,1.0,FLASH_40pct_vs_CONV_0pct_survival_18Gy_LDR_plus_histologic_sparing,survival,not_calculable,40_day_survival,calculated,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 18 Gy ABI, LDR family (54 spots × 7 pulses = 378 pulses). IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR=47.62 Gy/s; DPP=0.0476 Gy/pulse; irr=0.378s. n=10/group survival; n=10/group histology. FLASH 40% vs CONV 0% at 40 days (+40pp absolute; CONV survival = 0). At 18 Gy, LDR FLASH also improved villus length and crypt depth vs CONV.",Chugh_2026;18Gy_LDR;54spots_7pulses=378;FADR=47.62Gys;DPP=0.0476;irr=0.378s;survival_40pct_FLASH_vs_0pct_CONV;+40pp;histology_villus_crypt_preserved;mortality_-40pct,,,6,,,GI_toxicity,not_applicable,not_applicable,,,,18 Gy LDR FLASH (43-49 Gy/s) vs CONV. Strong FLASH survival benefit. 40-day survival: FLASH 40% vs CONV 0% (+40 pp). Relative effect not calculable (CONV=0). Intestinal morphology also preserved.,,,,,,,single_fraction,GI_crypt,not_applicable,,,3,6,3.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,flash_protective,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Mechanistic_ISC_21Gy_HDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,21.0,,21,no,single_fraction,,single_fraction,1.0,21.0,,60.0,original,57.14-64.29_HDR_family,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,350.0,not_specified_for_this_arm,,not_applicable_continuous:patched,,not_reported,,,,,60.0,40.0,24h_apoptosis_ROS_DNA_damage;72h_histology_Ki67_Olfm4_scRNAseq;96h_Lgr5+,10,villus_crypt_architecture;epithelial_apoptosis;endothelial_preservation;barrier_injury_markers;goblet_mucus_TJ_markers;CBC+_Olfm4+_Lgr5+_ISC;revSC_abundance;Wnt_stemness_programs;oxidative_stress;DNA_damage;cell_cycle_ISC;scRNAseq,YES,NOT_APPLICABLE,1.0,strongly_beneficial_FLASH_ISC_preservation_redox_protection_21Gy_HDR,GI_crypt_survival,,Olfm4_Ki67_CBC_revSC_ISC_preservation,not_calculable_qualitative_multi-endpoint_scRNAseq,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J + Lgr5 reporter male mice, 21 Gy ABI, HDR family. IBA ProteusONE 228 MeV PBS, PRF=1kHz. FLASH FADR≈57-64 Gy/s (HDR family). n=10 histology/IHC; n=3 scRNA-seq. Key mechanistic arm. FLASH vs CONV at 21 Gy: preserved villus-crypt architecture; reduced epithelial apoptosis; preserved endothelial cells; lowered barrier injury markers; preserved goblet/mucus/tight-junction markers; preserved CBC+/Olfm4+/Lgr5+ ISC populations; increased revSC abundance; enhanced Wnt/stemness programs; reduced oxidative stress and DNA damage; delayed ISC cell-cycle progression (interpreted as protective). Best mechanistic arm in paper. Pulse count not separately specified at 21 Gy.",Chugh_2026;21Gy_HDR;mechanistic_ISC_arm;FADR_HDR_family;ISC_preserved;revSC_enriched;Wnt_stemness;ROS_DNA_damage_reduced;scRNAseq_n=3;Lgr5_reporter;best_mechanistic_arm,,,6,,,GI_toxicity,not_applicable,not_applicable,,,,"21 Gy HDR FLASH mechanistic arm. ISC preservation endpoint. Olfm4+ crypts, Ki67, CBC and reserve ISC markers preserved vs CONV. Mechanistic demonstration that FLASH protects intestinal stem cell niche. Effect size calculable from figures.",,,,,,,single_fraction,GI_crypt,not_applicable,,,3,6,3.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,flash_protective,not_applicable
Proton FLASH Exposure Preserves Gut Commensal Microbiomes and Spares Intestinal Stem Cells,2026.0,University of Kansas Medical Center,Chugh_2026_Microbiome_18Gy_HDR,dose_rate_HDR_vs_LDR_vs_CONV_and_dose_escalation,mouse,C57BL/6J and Lgr5-eGFP-CreERT2;R26-ACTB-tdTomato-EGFP,male,,mouse,ketamine_87.5mgkg+xylazine_12.5mgkg,injectable_dissociative_plus_alpha2_agonist,normoxia_implied,0.0,,small_intestine_jejunum_whole_abdomen,GI_abdomen,whole_abdomen_abdominal_irradiation,2x3.5cm2_brass_collimated_abdominal_field,proton,proton,228 MeV,IBA ProteusONE synchrocyclotron PBS,pencil_beam_scanning_PBS_raster_scanned,single_fraction_abdominal_PBS,pulsed_synchrocyclotron_1kHz,18.0,,18,no,single_fraction,,single_fraction,1.0,18.0,,64.29,original,57.14-64.29_HDR_family,,not_reported_PW_unknown,,1000.0,original,1000,,not_reported,,280.0,inferred_same_as_Arm5_18Gy_HDR,,not_applicable_continuous:patched,0.28,inferred_pulses_over_PRF,~0.280,,,,64.29,40.0,24h_and_72h_fecal_microbiome,10,alpha_diversity;beta_diversity;Verrucomicrobiota_abundance;Akkermansia_muciniphila;Alistipes_An31A;Bifidobacterium_pseudolongum;Adlercreutzia_Schaedlerella;LEfSe_biosynthetic_pathways,YES,NOT_APPLICABLE,1.0,FLASH_preserves_gut_microbiome_ecology_vs_CONV_18Gy,microbiome_preservation,,microbiome_diversity_commensal_enrichment,not_calculable_compositional_multi-metric,FLASH_HDR_or_LDR_vs_CONV_PBS_proton_IBA_ProteusONE_228MeV,,not_calculable_no_isoeffect_comparison,"Chugh 2026. C57BL/6J male, 18 Gy ABI, HDR family (inferred 280 pulses from Arm 5). IBA ProteusONE 228 MeV PBS, PRF=1kHz. Fecal microbiome sampled at 24h and 72h post-RT. n=10/group. FLASH shifted microbiome differently from CONV and was more protective: better alpha-diversity preservation; distinct beta-diversity clustering vs CONV; higher Verrucomicrobiota; enrichment of Akkermansia muciniphila, Alistipes An31A, Bifidobacterium pseudolongum, Adlercreutzia/Schaedlerella taxa; enrichment of beneficial microbial biosynthetic pathways on LEfSe. Pulse count inferred (not separately specified for microbiome cohort).",Chugh_2026;18Gy_HDR_microbiome;alpha_beta_diversity;Akkermansia;Bifidobacterium;Verrucomicrobiota;LEfSe_biosynthetic;24h_72h_fecal;compositional_endpoint,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,18 Gy HDR FLASH microbiome arm. FLASH preserved beneficial commensal bacteria and microbiome diversity vs CONV. Moderate protective effect. Effect size calculable from microbiome figures.,,,,,,,single_fraction,GI_crypt,not_applicable,,,2,4,2.0,1.0,,,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
